89170;Плата драйвера ДТИ 6/12 СМПК.758725.026;4235;2021-08-16;2021-08-18;;Владивосток;долгий ремонт
89164;Блок упр. авт. двери СМПК.422412.004 (ЭЛСИЭЛ);3223;2021-08-16;2021-08-16;;Ростов-на-Дону;
89081;Сервер ИВС АВДБ.687280.032;157;2021-08-13;;;Киров;Отпр. в ЭЛК 22.10.2021
89033;Прочее (см. примечания);;2021-08-12;2021-10-04;2021-10-08;Воронеж;ВВРЗ(ЗАВОД). Блок RAMP.Передан в ремонт Фомину Е.В.
89027;Прочее (см. примечания);00132-1;2021-08-12;2021-10-04;2021-10-08;Воронеж;ВВРЗ(ЗАВОД). Панель управления от BMZ Rail 138. Передана в ремонт Фомину Е.В.
89001;Контроллер Siemens CPU224;T5E27287;2021-08-12;2021-08-13;2021-08-19;Уфа;выход микроконтроллера управления светодиодом контроль входа в (0)
88943;Плата П-02 (ГАМЕМ);517041;2021-08-09;2021-08-09;;Калининград;
88903;Контроллер информационной панели КИП-5 АВДБ.687240.087;188;2021-08-09;;;Сервисный центр;Адлер. Отпр. в ЭЛК 12.08.2021.
88864;Плата силового модуля СМПК.758725.039;1511;2021-08-09;2021-09-14;;Санкт-Петербург;коррозия печатной платы
88860;Плата упр. ВВ преобразователем СМПК.468332.120;86;2021-08-09;2022-02-04;;Санкт-Петербург;Прогар печатной платы.
88854;Плата ВВ драйверов СМПК.758726.181 СМПК.468741.044;1126;2021-08-09;2021-08-17;;Санкт-Петербург;Прогар ПП.
88841;Прочее (см. примечания);;2021-08-09;2021-12-27;;Адлер;Плата IGBT-6KL прогар ПП
88827;Двигатель вентилятора Faiveley L63-11255;;2021-08-09;2021-08-25;2021-08-27;Воронеж;Только электродвигатель
88826;Двигатель вентилятора Faiveley L63-11255;;2021-08-09;2021-09-06;2021-09-10;Воронеж;Только электродвигатель. Неисправна плата процессора и мотор.
88797;Подъемник инвалида ППТ-1ДП;19;2021-08-06;2021-08-06;2021-08-13;Архангельск;
88735;Модуль расширения Siemens EM235;J9P7387694;2021-08-04;2021-10-14;2021-10-15;Воронеж;ТВРЗ(ЗАВОД) микроконтроллер в ышел из строя
88701;Плата ПУ1-1 (ГАМЕМ);20501502;2021-08-04;2021-08-17;;Уфа;
88562;Контроллер ABB 07KR51;061E004C;2021-07-30;2021-08-03;2021-08-10;Воронеж;ВВРЗ(ЗАВОД) вышла из строя плис clt83020
88561;Операторская панель ABB PP320;4749249032;2021-07-30;2021-08-06;2021-08-10;Воронеж;ВВРЗ(ЗАВОД)вышел из строя микроконтроллер
88531;Модуль расширения Siemens EM235;U5E02516;2021-07-29;2021-08-06;;Уфа;вышел из строя м\контроллер2808470-5001
88523;Плата силового модуля СМПК.758725.039;863;2021-07-29;2021-08-17;;Уфа;прогар печатной платы
88511;Огр. напр. ОСН-2.5 ППЕТ-25-110 СМПК.435251.007;624;2021-07-29;2021-10-20;;Москва-Киевская;
88271;Плата инвертора ППН СМПК.758726.163 СМПК.435331.020;976;2021-07-22;2021-08-16;;Санкт-Петербург;прогар печатной платы ДЕФ.ВЕД, -
88267;Плата ВВ драйверов СМПК.758726.181 СМПК.468741.044;1098;2021-07-22;2021-08-17;;Санкт-Петербург;
88123;Плата П2 (ГАМЕМ);811003;2021-07-20;2021-07-20;;Ярославль;
88098;Плата СУИН 4.04 ЭСЭ 0137.1;289;2021-07-19;2021-09-13;;Уфа;коррозия печатной платы
88010;Модуль расширения Siemens EM223;J9P0527716;2021-07-19;2021-07-22;;Воронеж;ТВРЗ(ЗАВОД)выгорание верхней платы
87901;Плата ПУВ3 (ГАМЕМ);285;2021-07-13;2021-07-14;;Адлер;Прогар печатной платы.
87828;Плата ПС-6РМ2 (ГАМЕМ);111552;2021-07-13;2021-07-13;;Москва-Николаевка;Прогар печатной платы.
87746;Прочее (см. примечания);;2021-07-09;2021-11-09;;Хабаровск;Плата SKHI23 коррозия печатной платы
87707;Плата инвертора ППН СМПК.758726.103 СМПК.435331.016;36;2021-07-09;2021-08-17;;Самара;прогар печатной платы ДЕФ.ВЕД, -
87705;Плата инвертора ППН СМПК.758726.103 СМПК.435331.016;11;2021-07-09;2021-08-17;;Самара;прогар печатной платы ДЕФ.ВЕД, -
87606;Прочее (см. примечания);80210005;2021-07-07;2021-07-29;2021-07-30;Махачкала;Дисплей WECON. Неисправна матрица и сенсор. Залит водой.
87590;Модуль БУЭ-К (Экспресс 1А41);1505;2021-07-06;2021-07-07;;Екатеринбург;Неисправен контроллер
87487;Модуль расширения Siemens EM235;J9P2215232;2021-07-05;2021-07-08;2021-07-09;Воронеж;выгорание платы по питанию =24в
87444;Плата силового модуля СМПК.758725.039;1083;2021-07-05;2021-07-08;;Архангельск;Неисправны датчики.
87440;Телевизор SHARP LC-15S1E;512018633;2021-07-05;;;Архангельск;
87429;Инвертор ИН 110/220/7000/50/М1;12996;2021-07-05;;;Адлер;В ЛМ. Отправлен в ЛМ Инвертор 6.08.2021
87427;Инвертор ПН-ПОЕТ-22-230-50-У1;134;2021-07-05;2021-08-02;;Адлер;Полностью выгорел
87426;Инвертор ПН-ПОЕТ-22-230-50-У1;149;2021-07-05;2021-08-02;;Адлер;Полностью выгорел
87350;Модуль расширения Siemens SM331;TDA78660;2021-07-05;2021-10-14;2021-10-15;Воронеж;контроллер не отвечает
87335;Контроллер Siemens SIBCOS M9000;;2021-07-02;2021-07-05;2021-07-09;ОРПВНП;
87334;Контроллер Siemens SIBCOS M9000;;2021-07-02;2021-07-05;2021-07-09;ОРПВНП;
87333;Контроллер Siemens SIBCOS M9000;;2021-07-02;2021-07-05;2021-07-09;ОРПВНП;
87321;Плата диодного моста ППН СМПК.435314.022 СМПК.758725.221;427;2021-07-02;2021-07-08;;Москва-Николаевка;Долгий ремонт. (Замена печатной платы)
87275;Прочее (см. примечания);;2021-06-30;2021-07-06;2021-07-23;Екатеринбург;Плата IGBT-6KL. Залит водой. Окислен.
87221;КППУ Барс-4МОс;1418;2021-06-29;2021-07-02;;Смоленск;Пришел без платы
87160;Плата ПС-6ТМ (ГАМЕМ);10504729;2021-06-28;2021-07-01;2021-07-01;Пенза;
87136;Плата инвертора ППН СМПК.758726.163 СМПК.435331.020;977;2021-06-28;2021-08-16;;Адлер;прогар печатной платы ДЕФ.ВЕД, -
87120;Операторская панель B&R 4PP045;94980179186;2021-06-28;2021-07-29;;Москва-Николаевка;вышел из строя матрица системная плата не отвечает
87114;Плата драйвера ДТИ 6/12 СМПК.758725.026;4118;2021-06-28;2021-06-30;;Москва-Октябрьская;прогар печатной платы
87106;Плата силового модуля СМПК.758725.039;830;2021-06-28;2021-06-30;;Орел;прогар печатной платы
87043;Операторская панель ABB CP430;6620500087;2021-06-24;2021-06-25;2021-06-29;Екатеринбург;прогарание платы
87035;Контроллер ABB 07KR51;0D6800C0;2021-06-24;2021-06-25;2021-06-28;Смоленск;вышла из строя плс clt83020
87006;Прочее (см. примечания);;2021-06-24;2021-06-29;2021-06-30;Москва-Николаевка;Инвертор DC/AC 48/220B СибВольт 1548
86971;Прочее (см. примечания);;2021-06-23;2021-06-28;;ОРПВНП;Датчик уровня воды, неисправен контроллер
86959;Прочее (см. примечания);;2021-06-23;2021-06-28;;ОРПВНП;Сигнальный фонарь SIEMENS, окисление монтажа, замена на новую
86958;Прочее (см. примечания);;2021-06-23;2021-06-28;;ОРПВНП;Сигнальный фонарь SIEMENS, окисление монтажа, замена на новую
86957;Прочее (см. примечания);;2021-06-23;2021-06-28;;ОРПВНП;Сигнальный фонарь SIEMENS, окисление монтажа, замена на новую
86956;Прочее (см. примечания);;2021-06-23;2021-06-28;;ОРПВНП;Сигнальный фонарь SIEMENS, окисление монтажа, замена на новую
86955;Прочее (см. примечания);;2021-06-23;2021-06-28;;ОРПВНП;Сигнальный фонарь SIEMENS, окисление монтажа, замена на новую
86954;Прочее (см. примечания);;2021-06-23;2021-06-28;;ОРПВНП;Сигнальный фонарь SIEMENS, окисление монтажа, замена на новую
86953;Прочее (см. примечания);;2021-06-23;2021-06-28;;ОРПВНП;Сигнальный фонарь SIEMENS, окисление монтажа, замена на новую
86952;Прочее (см. примечания);;2021-06-23;2021-06-28;;ОРПВНП;Сигнальный фонарь SIEMENS, окисление монтажа, замена на новую
86951;Прочее (см. примечания);;2021-06-23;2021-06-28;;ОРПВНП;Сигнальный фонарь SIEMENS, окисление монтажа, замена на новую
86950;Прочее (см. примечания);;2021-06-23;2021-06-28;;ОРПВНП;Сигнальный фонарь SIEMENS, окисление монтажа, замена на новую
86949;Прочее (см. примечания);;2021-06-23;2021-06-28;;ОРПВНП;Сигнальный фонарь SIEMENS, окисление монтажа, замена на новую
86948;Прочее (см. примечания);;2021-06-23;2021-06-28;;ОРПВНП;Сигнальный фонарь SIEMENS, окисление монтажа, замена на новую
86947;Прочее (см. примечания);;2021-06-23;2021-06-28;;ОРПВНП;Сигнальный фонарь SIEMENS, окисление монтажа, замена на новую
86946;Прочее (см. примечания);;2021-06-23;2021-06-28;;ОРПВНП;Сигнальный фонарь SIEMENS, окисление монтажа, замена на новую
86945;Прочее (см. примечания);;2021-06-23;2021-06-28;;ОРПВНП;Сигнальный фонарь SIEMENS, окисление монтажа, замена на новую
86921;Плата силового модуля СМПК.758725.039;123;2021-06-22;2021-06-30;;Москва-Октябрьская;прогар печатной платы
86895;Плата инвертора ППН СМПК.758726.103 СМПК.435331.016;38;2021-06-22;2021-06-24;;Самара;Прогар печатной платы.
86889;Панель информационная АВДБ.758800.022;117;2021-06-22;;;Казань;Отпр. в ЭЛК 11.01.2022
86837;Плата силового модуля СМПК.758725.039;4;2021-06-21;2021-06-23;;Москва-Октябрьская;требуется модуль MWI
